ID,Date,BoatPair,LightKind,PullTime,LightDuration,Wind,ShoreDistance,MoonLight,TotalCatch,ClupCatch,StapCatch,StapSize,LimnoSize,StoloSize,,,,,
129,2015-11-25,C,LED_S,0.239583333,0.385416667,0.558823529,0.015183042,0.98,9.2,9.057689336,NA,NA,3.49,1.145,,,,,
137,2015-11-27,A,Karabai,0.232638889,0.35,1.252941176,0.033677767,0.99,11.2,10.88815197,0.311848021,1.94,NA,1.615,,,,,
135,2015-11-27,C,LED_R,0.145833333,0.330902778,1.252941176,0.021908539,0.99,4.5,4.403392009,NA,NA,2.78,1.22,,,,,
136,2015-11-27,B,LED_S,0.236111111,0.341666667,1.252941176,0.037804011,0.99,6.2,6.199999993,NA,NA,NA,1.65,,,,,
139,2015-11-28,B,LED_S,0.257638889,0.342361111,0.958823529,0.160663013,0.95,10.2,10.02173078,0.178269216,2.62,NA,1.86,,,,,
140,2015-11-28,A,Karabai,0.229166667,0.364583333,0.958823529,0.038832068,0.95,13.2,13.19999999,NA,NA,NA,1.385,,,,,
138,2015-11-28,C,LED_R,0.239583333,0.398611111,0.958823529,0.042301678,0.95,127.2,127.1999999,NA,NA,NA,1.485,,,,,
141,2015-11-29,C,LED_R,0.138888889,0.214583333,1.088235294,0.122986905,0.89,34.2,34.2,NA,NA,NA,1.5,,,,,
142,2015-11-29,B,LED_S,0.25,0.259722222,1.088235294,0.116481817,0.89,78,78.00000006,NA,NA,NA,1.3,,,,,
146,2015-11-30,A,Karabai,0.236111111,0.372916667,0.7,0.03460326,0.82,19.2,19.20000001,NA,NA,9.98,1.33,,,,,
144,2015-11-30,C,LED_R,0.239583333,0.363888889,0.7,0.043057125,0.82,115.2,115.2,NA,NA,NA,1.955,,,,,
145,2015-11-30,B,LED_S,0.238194444,0.390972222,0.7,0.133222408,0.82,73,72.19657531,NA,NA,NA,1.955,,,,,
147,2015-12-01,C,LED_R,0.152777778,0.186805556,1.68125,0.041569256,0.73,76.8,76.79999999,NA,NA,NA,1.395,,,,,
148,2015-12-01,B,LED_S,0.25,0.243055556,1.68125,0.035811987,0.73,22.2,22.0977208,NA,NA,NA,1.495,,,,,
151,2015-12-02,B,LED_S,0.243055556,0.354166667,0.876470588,0.058221716,0.64,21.2,20.6838173,0.395421789,1.75,NA,2.32,,,,,
152,2015-12-02,A,Karabai,0.236111111,0.413194444,0.876470588,0.034959788,0.64,72,70.87252112,NA,NA,NA,1.44,,,,,
150,2015-12-02,C,LED_R,0.126388889,0.336458333,0.876470588,0.027195839,0.64,287,287.0000002,NA,NA,NA,1.44,,,,,
155,2015-12-03,A,Karabai,0.125,0.35625,0.611764706,0.039396146,0.54,72.2,71.84878163,0.351218403,2.14,6.52,2.345,,,,,
154,2015-12-03,B,LED_S,0.25,0.441666667,0.611764706,0.031022274,0.54,107.2,105.2320234,1.967976576,1.85,NA,2.485,,,,,
153,2015-12-03,C,LED_R,0.166666667,0.353472222,0.611764706,0.040642522,0.54,172.8,172.7999999,NA,NA,NA,1.41,,,,,
156,2015-12-04,C,LED_R,0.145833333,0.30625,0.476470588,0.018658178,0.45,239.5,239.5000001,NA,NA,NA,1.36,,,,,
157,2015-12-04,B,LED_S,0.25,0.400694444,0.476470588,0.030084498,0.45,1208.8,1208.799999,NA,NA,NA,2.03,,,,,
160,2015-12-05,B,LED_S,0.25,0.320833333,0.829411765,0.025436933,0.36,114.2,114.0234701,0.176529947,1.78,NA,1.795,,,,,
162,2015-12-06,C,LED_R,0.145833333,0.31875,0.911764706,0.018990905,0.27,73.1,73.03619778,NA,NA,NA,1.305,,,,,
163,2015-12-06,B,LED_S,0.25,0.3625,0.911764706,0.027773592,0.27,23,23,NA,NA,9.015,2.565,,,,,
167,2015-12-07,A,Karabai,0.239583333,0.423611111,0.470588235,0.044889747,0.19,16,7.137263875,8.862736125,226.785,18.09,2.9,,,,,
165,2015-12-07,C,LED_R,0.145833333,0.419444444,0.470588235,0.018627085,0.19,84.8,84.79999995,NA,NA,16.82,2.17,,,,,
166,2015-12-07,B,LED_S,0.152777778,0.297222222,0.470588235,0.030114526,0.19,38,38.00000003,NA,NA,NA,2.455,,,,,
170,2015-12-08,A,Karabai,0.229166667,0.381944444,1.294117647,0.180602561,0.12,121.5,121.2828188,NA,NA,NA,2.275,,,,,
168,2015-12-08,C,LED_R,0.111111111,0.325694444,1.294117647,0.012671649,0.12,445.2,445.2000003,NA,NA,NA,1.415,,,,,
169,2015-12-08,B,LED_S,0.222222222,0.409722222,1.294117647,0.031618712,0.12,9.5,NA,9.499999994,135.29,NA,NA,,,,,
172,2015-12-09,B,LED_S,0.25,0.354166667,1.352941176,0.045873035,0.07,48,47.24297475,0.757025225,2.695,8.53,2.54,,,,,
173,2015-12-09,A,Karabai,0.125,0.292361111,1.352941176,0.02657927,0.07,208.5,208.4999999,NA,NA,NA,1.14,,,,,
171,2015-12-09,C,LED_R,0.145833333,0.33125,1.352941176,0.039084412,0.07,254.4,254.4,NA,NA,NA,1.295,,,,,
176,2015-12-10,A,Karabai,0.125,0.335416667,0.664705882,0.028268348,0.03,21.2,20.66387928,NA,NA,NA,1.755,,,,,
174,2015-12-10,C,LED_R,0.229166667,0.3875,0.664705882,0.042301678,0.03,275.6,275.3953418,NA,NA,NA,1.25,,,,,
175,2015-12-10,B,LED_S,0.131944444,0.339583333,0.664705882,0.011458074,0.03,30.4,30.40000003,NA,NA,2.48,1.15,,,,,
179,2015-12-11,A,Karabai,0.125,0.320138889,0.964705882,0.035835733,0.01,307.5,307.4999999,NA,NA,NA,1.89,,,,,
178,2015-12-11,B,LED_S,0.145833333,0.354166667,0.964705882,0.018035542,0.01,106,105.9999999,NA,NA,2.75,1.36,,,,,
182,2015-12-12,A,Karabai,0.125,0.361805556,0.541176471,0.027577936,0,343.5,343.4999997,NA,NA,NA,1.87,,,,,
180,2015-12-12,C,LED_R,0.236111111,0.390277778,0.541176471,0.042006491,0,21.2,21.2,NA,NA,NA,1.66,,,,,
181,2015-12-12,B,LED_S,0.125,0.386805556,0.541176471,0.010031611,0,199.2,199.2,NA,NA,NA,1.095,,,,,
183,2015-12-13,C,LED_R,0.145833333,0.348611111,0.605882353,0.011076417,0.02,106,105.6856194,NA,NA,NA,1.415,,,,,
184,2015-12-13,B,LED_S,0.15625,0.3625,0.605882353,0.034924224,0.02,264,252.7217248,NA,NA,0.83,1.09,,,,,
186,2015-12-14,C,LED_R,0.243055556,0.428472222,0.558823529,0.019665205,0.07,0.5,0.311074696,0.185443124,6.83,2.47,1.63,,,,,
188,2015-12-14,A,Karabai,0.229166667,0.420138889,0.558823529,0.025890901,0.07,7.5,7.483886631,NA,NA,2.45,1.74,,,,,
187,2015-12-14,B,LED_S,0.243055556,0.429166667,0.558823529,0.007503314,0.07,35,34.99999997,NA,NA,NA,1.195,,,,,
191,2015-12-15,A,Karabai,0.236111111,0.420833333,0.970588235,0.03659279,0.13,0.85,0.841870958,NA,NA,6.8,2.11,,,,,
189,2015-12-15,C,LED_R,0.260416667,0.422916667,0.970588235,0.013465076,0.13,40.4,36.29938332,NA,NA,9.135,1.47,,,,,
194,2015-12-16,A,Karabai,0.236111111,0.40625,1.017647059,0.030171673,0.21,1,0.969562036,NA,NA,1.35,1.595,,,,,
192,2015-12-16,C,LED_R,0.243055556,0.388194444,1.017647059,0.013865473,0.21,42.4,42.40000004,NA,NA,1.82,1.3,,,,,
195,2015-12-17,C,LED_R,0.243055556,0.409027778,0.947058824,0.011566,0.31,33.5,18.88584078,10.74898033,221.06,10.98,1.315,,,,,
196,2015-12-17,B,LED_S,0.104166667,0.326388889,0.947058824,0.005227496,0.31,50,49.99999996,NA,NA,NA,1.125,,,,,
198,2015-12-18,C,LED_R,0.145833333,0.346527778,1.129411765,0.006925921,0.42,40.9,40.9,NA,NA,2.4,1.49,,,,,
199,2015-12-18,B,LED_S,0.25,0.413194444,1.129411765,0.00946433,0.42,22.2,22.17586954,NA,NA,NA,1.225,,,,,
204,2015-12-20,C,LED_R,0.270833333,0.368055556,0.635294118,0.005706077,0.64,33.7,22.01132701,11.68867297,168.14,NA,1.415,,,,,
205,2015-12-20,B,LED_S,0.25,0.416666667,0.635294118,0.064155996,0.64,24.2,24.2,NA,NA,NA,2.875,,,,,
207,2015-12-21,C,LED_R,0.246527778,0.384722222,0.882352941,0.003636682,0.75,16.2,10.20953165,5.943897109,245.05,2.48,1.31,,,,,
209,2015-12-21,A,Karabai,0.236111111,0.356944444,0.882352941,0.044586967,0.75,2.85,2.85,NA,NA,NA,2.345,,,,,
208,2015-12-21,B,LED_S,0.253472222,0.420138889,0.882352941,0.013882839,0.75,30.7,30.65184311,NA,NA,2.385,1.105,,,,,
210,2015-12-22,C,LED_R,0.173611111,0.369444444,0.952941176,0.014552595,0.84,4,3.219477194,0.780522809,194.2,4.26,1.71,,,,,
212,2015-12-22,A,Karabai,0.229166667,0.4,0.952941176,0.048658818,0.84,1.85,1.849999998,NA,NA,NA,3.03,,,,,
211,2015-12-22,B,LED_S,0.246527778,0.424305556,0.952941176,0.014207628,0.84,20.2,20.17207202,NA,NA,1.46,1.325,,,,,
213,2015-12-23,C,LED_R,0.239583333,0.315277778,0.976470588,0.01495446,0.91,1.5,1.5,NA,NA,NA,1.315,,,,,
218,2015-12-30,A,Karabai,0.125,0.372222222,0.358823529,0.188010809,0.8,28.7,28.70000002,NA,NA,NA,2.5,,,,,
216,2015-12-30,C,LED_R,-0.0375,0.223263889,0.358823529,0.016814385,0.8,35.7,35.69999999,NA,NA,3.99,1.42,,,,,
217,2015-12-30,B,LED_S,0.099305556,0.320138889,0.358823529,0.031624555,0.8,40.4,40.39999999,NA,NA,8.755,2.92,,,,,
219,2015-12-31,C,LED_R,0.243055556,0.402083333,0.688235294,0.004015993,0.72,13,8.520283549,4.370870264,133.535,3.86,1.445,,,,,
220,2015-12-31,B,LED_S,0,0.292013889,0.688235294,0.057328067,0.72,26.4,15.87673186,11.37548379,128.895,5.7,2.6,,,,,
221,2015-12-31,A,Karabai,0.229166667,0.406944444,0.688235294,0.04256569,0.72,4.5,4.500000002,NA,NA,4.13,1.74,,,,,
224,2016-01-01,A,Karabai,0.229166667,0.381944444,1.011764706,0.031752848,0.61,6.5,6.359282058,NA,NA,NA,2.88,,,,,
222,2016-01-01,C,LED_R,0.083333333,0.313541667,1.011764706,0.032464639,0.61,10,10,NA,NA,3.835,2.815,,,,,
223,2016-01-01,B,LED_S,0.01875,0.303819444,1.011764706,0.015953233,0.61,54,53.36887548,NA,NA,1.96,1.86,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
